,nCells,vanAlbada_L1,vanAlbada_L2,WENO_Z3_L1,WENO_Z3_L2,ROUNDL_L1,ROUNDL_L2,Variational3_L1,Variational3_L2
0,20.0,0.07509192145158625,0.0912610054862508,0.06463588003001411,0.08015896027002926,0.01879198041990156,0.0239549971757452,0.005155891834146197,0.005725140067705218
1,40.0,0.026493955608865426,0.030655896249229524,0.020412607661015842,0.02772120445025958,0.005811050915971875,0.00814192274766391,0.0006430343407753534,0.0007142464010418426
2,80.0,0.007196265286391589,0.008511725252405036,0.005233548766069974,0.00849748435999467,0.0011959252720028513,0.002149696149532169,8.040169744079895e-05,8.931170208965676e-05
3,160.0,0.0019035235019360154,0.002479705072995443,0.0011549212610683188,0.0024290082082438274,0.00022853445603219876,0.0005437655284420356,1.0081630862875784e-05,1.1195732851710867e-05
4,320.0,0.0004868903083755675,0.0006952129517373845,0.00024283549995523886,0.0006658426753114267,4.2190201769279216e-05,0.000133879007232701,1.2702068874011544e-06,1.4086889176276344e-06
