,alpha,vanAlbada_Real,vanAlbada_Imag,WENO_Z3_Real,WENO_Z3_Imag,ROUNDL_Real,ROUNDL_Imag,Variational3_Real,Variational3_Imag
0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1,0.06382174130427026,0.06248280440955289,-1.9440305016141674e-06,0.06252047718487919,-2.20577306743305e-06,0.06251979842647923,-7.339791565071377e-07,0.06251890095807244,-1.5999668154833813e-06
2,0.12764348260854053,0.12477642713785848,-3.1438897961328896e-05,0.1250561735596436,-4.104878992704809e-05,0.1250462454464703,-4.207578971267926e-06,0.12503864801857326,-6.5444531791969354e-06
3,0.1914652239128108,0.18677088871961336,-0.00016231945803406132,0.1876362324591648,-0.00022427191922646126,0.18759878666581886,8.885658536862972e-07,0.1875612671258494,-1.4272976578390934e-05
4,0.25528696521708105,0.24836179558420488,-0.0005068193687767537,0.25028816314993,-0.000739310243361374,0.2502119429685797,3.0168589256615205e-05,0.2500877814510761,-2.3511583840101118e-05
5,0.3191087065213513,0.3095732631968243,-0.0012449157253113334,0.3130201142123969,-0.0018458324929885382,0.3129241914202797,6.764218240854689e-05,0.31261744887353404,-3.2993419120929024e-05
6,0.3829304478256216,0.37050831471116386,-0.002640425608328975,0.37580552307037585,-0.003863347761336166,0.3757650229590617,3.280710057460607e-05,0.37514705912390073,-4.250835798070804e-05
7,0.44675218912989184,0.4308169231482252,-0.0048156213290530105,0.43857119398567473,-0.007156402525207443,0.43873997769504014,-0.0002361021035812163,0.43767030121245937,-5.420674510079119e-05
8,0.5105739304341621,0.49086004902451397,-0.008221140925557171,0.5011888641382901,-0.012118722882326021,0.5018174365081113,-0.0009836386673522171,0.5001771670789599,-7.40754798169685e-05
9,0.5743956717384324,0.5506794753798708,-0.013266439042771513,0.5634701365478435,-0.01915688553929932,0.5649175717002282,-0.002527414779819044,0.5626533174884871,-0.00011351981705601965
10,0.6382174130427026,0.6097079751422031,-0.019986089263645767,0.625164666065227,-0.02867430810593787,0.6279038548937408,-0.005241073496065155,0.6250793128301559,-0.00019101245040058616
11,0.7020391543469728,0.6686714101107765,-0.029342326015024674,0.685961240175518,-0.041056080286424136,0.6905780471880576,-0.009533481900666125,0.6874296079285853,-0.0003337989085046976
12,0.7658608956512432,0.7271102778111943,-0.041574929016973294,0.7454914962236976,-0.056654670074781865,0.7526786622286462,-0.015826462681821064,0.7496712202059516,-0.0005796634185857648
13,0.8296826369555135,0.7840721569769875,-0.056298800358621365,0.8033359424662292,-0.07577707836044827,0.8138830635733866,-0.024532921371570437,0.8117619935602572,-0.0009787583295289943
14,0.8935043782597837,0.8398997084037806,-0.0743430219294154,0.8590318873830859,-0.09867372065467041,0.8738128890328416,-0.036036679490650515,0.8736483871868315,-0.0015954877606685555
15,0.9573261195640539,0.8948160139043433,-0.09670015914252185,0.9120830769500706,-0.12552883064916218,0.9320423164605136,-0.05067463478015661,0.9352627177649825,-0.002510421692297895
16,1.0211478608683242,0.9481103324200922,-0.1232651176095321,0.9619706166660517,-0.1564528802035342,0.9881087825482603,-0.06872211919104558,0.9965197818080793,-0.0038222075319359395
17,1.0849696021725945,0.9994071683271428,-0.1543800434934673,1.0081647903004824,-0.1914771497417258,1.0415253312704156,-0.0903814328400394,1.0573127936982851,-0.005649442507262117
18,1.1487913434768648,1.0488340130662004,-0.1914495889929134,1.0501376635541173,-0.23055008114068395,1.0917942383688946,-0.11577409579559646,1.1175086031457413,-0.0081324647570417
19,1.212613084781135,1.0943009059097004,-0.23113886174347612,1.0873759856629552,-0.27353584608627557,1.1384210439898288,-0.14493655532673286,1.1769422059234382,-0.011435003123901076
20,1.2764348260854053,1.1369577250317893,-0.27707082847944137,1.119394017775032,-0.32021515037797127,1.1809284190824312,-0.17781923795455812,1.2354106289654982,-0.01574558773625022
21,1.3402565673896756,1.1757429346511983,-0.3281225683445295,1.1457462858511007,-0.37028776844487915,1.218869393984242,-0.21428906006278478,1.292666347122648,-0.021278565245974837
22,1.4040783086939457,1.2105664171815165,-0.3860915574639891,1.166039722928713,-0.4233771795206459,1.2518394760891893,-0.2541344942214823,1.3484104676991349,-0.028274491568937982
23,1.467900049998216,1.2397368731701637,-0.44510897476679445,1.17994485285747,-0.4790372355772159,1.2794865740342023,-0.2970738475987351,1.4022859989481427,-0.03699960304752831
24,1.5317217913024863,1.26422567293697,-0.5153233202854471,1.187206162054878,-0.5367602208590017,1.3015194688992613,-0.34276495684424463,1.453871602634364,-0.04774400593604608
25,1.5955435326067566,1.2822869617284993,-0.580585625568232,1.1876510836010332,-0.5959866262843482,1.3177137932216183,-0.3908167005581716,1.502676321041832,-0.06081818317371029
26,1.659365273911027,1.2942691953215673,-0.6569742283563381,1.1811972657288439,-0.6561165091679467,1.3279145592339034,-0.44080246936489126,1.5481358626328494,-0.07654740376076775
27,1.723187015215297,1.2995877659767339,-0.7342746654482617,1.1678584894684183,-0.7165216499374716,1.3320373698579617,-0.4922728597536102,1.5896111168944165,-0.0952636418735949
28,1.7870087565195674,1.2985875716700894,-0.8114572174554847,1.1477486011081603,-0.7765588194748989,1.330065845986586,-0.5447693948025892,1.626389628792038,-0.11729468197879826
29,1.8508304978238377,1.2901370877546545,-0.8935598414358424,1.1210831222202184,-0.8355840086476767,1.3220468861350356,-0.5978374424705899,1.6576907732018935,-0.14295021797735655
30,1.9146522391281078,1.2744269452567942,-0.9771421643896644,1.0881792387017932,-0.8929666472007475,1.3080836746774893,-0.6510377734459927,1.6826753063846382,-0.17250496358706943
