x,rho,rhoU,rhoE,p
0.1946946946946947,0.07863522932341752,0.49026526526526526,1.2574258317376434,-0.10835879394116868
0.19569569569569567,0.07851559016473933,0.4902152152152152,1.2573452706961217,-0.10919753694636772
0.19669669669669665,0.07839585080576073,0.4901651651651652,1.2572648098549,-0.1100394977148163
0.19769769769769774,0.07827601124648172,0.49011511511511513,1.2571844492139785,-0.11088469430691017
0.19869869869869872,0.07815607148690232,0.4900650650650651,1.2571041887733578,-0.11173314491896874
0.1996996996996997,0.07803603152702253,0.490015015015015,1.2570240285330374,-0.11258486788451255
0.20070070070070067,0.07791589136684232,0.48996496496496494,1.2569439684930175,-0.1134398816755553
0.20170170170170165,0.07779565100636172,0.4899149149149149,1.2568640086532978,-0.11429820490390936
0.20270270270270274,0.07767531044558072,0.48986486486486486,1.2567841490138787,-0.11515985632250772
0.20370370370370372,0.07755486968449932,0.4898148148148148,1.2567043895747598,-0.11602485482673988
0.2047047047047047,0.07743432872311752,0.48976476476476477,1.2566247303359415,-0.11689321945580336
0.20570570570570568,0.07731368756143531,0.4897147147147147,1.2565451712974234,-0.11776496939407109
0.20670670670670666,0.07719294619945272,0.4896646646646647,1.2564657124592058,-0.11864012397247291
0.20770770770770774,0.07707210463716971,0.48961461461461464,1.2563863538212887,-0.11951870266989505
0.20870870870870872,0.0769511628745863,0.48956456456456454,1.256307095383672,-0.12040072511459368
0.2097097097097097,0.07683012091170249,0.4895145145145145,1.2562279371463556,-0.12128621108562615
0.21071071071071068,0.0767089787485183,0.48946446446446445,1.2561488791093394,-0.12217518051429757
0.21171171171171166,0.0765877363850337,0.4894144144144144,1.256069921272624,-0.12306765348562498
0.21271271271271275,0.07646639382124867,0.48936436436436437,1.2559910636362086,-0.12396365023981924
0.21371371371371373,0.07634495105716327,0.4893143143143143,1.2559123062000939,-0.1248631911737797
0.2147147147147147,0.07622340809277747,0.4892642642642643,1.2558336489642796,-0.1257662968426134
0.21571571571571568,0.07610176492809127,0.48921421421421424,1.2557550919287654,-0.12667298796116608
0.21671671671671666,0.07598002156310465,0.4891641641641642,1.255676635093552,-0.12758328540557287
0.21771771771771775,0.07585817799781763,0.4891141141141141,1.2555982784586388,-0.1284972102148279
0.21871871871871873,0.07573623423223023,0.48906406406406405,1.2555200220240261,-0.12941478359237088
0.2197197197197197,0.07561419026634243,0.489014014014014,1.2554418657897135,-0.13033602690769427
0.2207207207207207,0.07549204610015421,0.48896396396396397,1.2553638097557016,-0.13126096169796658
0.22172172172172167,0.0753698017336656,0.4889139139139139,1.25528585392199,-0.13218960966967705
0.22272272272272275,0.0752474571668766,0.4888638638638639,1.2552079982885787,-0.1331219927002988
0.22372372372372373,0.07512501239978718,0.48881381381381384,1.255130242855468,-0.13405813283997184
0.2247247247247247,0.07500246743239737,0.48876376376376374,1.2550525876226575,-0.13499805231320572
0.2257257257257257,0.07487982226470716,0.4887137137137137,1.2549750325901476,-0.13594177352060283
0.22672672672672667,0.07475707689671654,0.48866366366366365,1.254897577757938,-0.1368893190406019
0.22772772772772776,0.07463423132842553,0.4886136136136136,1.254820223126029,-0.13784071163124187
0.22872872872872874,0.0745112855598341,0.48856356356356356,1.25474296869442,-0.13879597423194828
0.22972972972972971,0.0743882395909423,0.4885135135135135,1.2546658144631115,-0.13975512996533832
0.2307307307307307,0.07426509342175008,0.4884634634634635,1.2545887604321038,-0.14071820213905104
0.23173173173173167,0.07414184705225749,0.48841341341341343,1.254511806601396,-0.14168521424759614
0.23273273273273276,0.07401850048246444,0.4883633633633634,1.254434952970989,-0.14265618997422802
0.23373373373373374,0.07389505371237103,0.4883133133133133,1.2543581995408821,-0.14363115319283884
